date,delta,gamma,vega,theta
2023-03-07,-8993642.91305934,-172676.4160019361,-15894.5508130325,11657.757536574994
2023-03-08,-9023356.62342571,-174602.94394847623,-15734.684729980194,11149.864373207716
2023-03-09,-9112307.22998867,-173371.458177597,-15263.662762655322,10711.686709835378
2023-03-10,-9257158.511240374,-173731.83889512866,-15443.796977051787,11314.17285419478
2023-03-13,-10193602.162069524,-157814.49259271266,-15097.575478145493,10727.43097938909
2023-03-14,-10001476.6857895,-172462.59548261503,-16075.180897228189,11414.461303325139
2023-03-15,-10110029.015291981,-177127.87343169126,-15024.123451108115,11085.789592077866
2023-03-16,-10165133.22949317,-183521.57839627634,-14490.873790823978,11402.104230981487
2023-03-17,-10548860.263057541,-139129.47354355163,-14202.34700149281,10571.007924824311
2023-03-20,-10418620.985976672,-129782.09786732626,-13880.65104740017,10844.368591644425
2023-03-21,-10322984.246587956,-198383.85431693424,-15611.839639473175,11545.270536164708
2023-03-22,-10565653.873176983,-186827.67406088673,-15084.099193925891,11095.239775843647
2023-03-23,-10600771.268992143,-174672.2808729288,-15587.445921562763,11136.180640093635
2023-03-24,-10679726.874028184,-160979.20398627428,-13975.147311627918,9965.136631647389
2023-03-27,-10548109.471694922,-158910.60569134064,-13832.243431915947,10174.9914324759
2023-03-28,-10655515.70012834,-169521.49311621053,-15760.854164243527,11521.81860338997
2023-03-29,-10641396.634404544,-169024.1854791958,-16313.67245651255,11671.115735043566
2023-03-30,-10774639.523089144,-171812.63166816338,-16260.080254004704,11792.357438627572
2023-03-31,-10770283.90672998,-162697.30707283772,-15874.057572762456,11293.926962480427
2023-04-03,-10733645.08668811,-157686.92754630442,-15449.976008565112,11126.942218662169
2023-04-04,-11162193.481871221,-175577.70123923145,-16682.925482269577,11850.188493850505
2023-04-05,-11130192.873523207,-173852.44573333827,-16581.123230194113,12068.917595953855
2023-04-06,-11100420.07671523,-173231.91792397702,-16800.83123258181,12335.378706860713
2023-04-07,-11127921.865634589,-153685.80491130982,-16381.279070189881,12107.778309892785
2023-04-10,-11167456.516295776,-158635.94613805346,-15769.107558539907,11872.076619963815
2023-04-11,-11290429.002892153,-175047.96838401794,-17278.30733196715,13267.909055371067
2023-04-12,-11324731.500043556,-172393.69870980651,-17035.847483851278,12987.028904909199
2023-04-13,-11470746.373761443,-170714.78908332344,-16814.60356928705,12704.549975500022
2023-04-14,-11250859.371063551,-161664.01168437387,-17225.979732996904,12939.685205461812
2023-04-17,-11269707.536987504,-160816.26235497932,-16527.14740124962,12301.997598559365
