date,delta,gamma,vega,theta
2021-05-03,-2073811.62545782,-190845.73583546496,-1517.5520403872936,1552.6372853314863
2021-05-04,-2603800.4033863083,-340494.3762108661,-1862.0150066865224,2684.545330307256
2021-05-05,-2511400.0544121293,-335611.3366545028,-1869.1502888189852,2726.390117379279
2021-05-06,-2512123.2719364907,-334158.92238042125,-1861.730811987412,2675.4735110961
2021-05-07,-2524040.4422701206,-327299.14482989087,-1736.3637018481604,2340.07740852668
2021-05-10,-2556217.5410919553,-264287.53540806373,-1638.2191751801854,1829.138516045192
2021-05-11,-2470662.0068106544,-348606.4016435514,-1967.9634003648055,3047.1599681994435
2021-05-12,-2542392.663548254,-338987.80388924706,-1896.4131487432344,2864.9150800550124
2021-05-13,-2549047.3772708485,-321513.1075328702,-1864.281131947468,2701.3743870380563
2021-05-14,-2504336.430564891,-317436.84464638116,-1822.6518911376602,2583.9674120533796
2021-05-17,-2487658.139147219,-274808.29089862085,-1691.6008576097447,2067.3313865814976
2021-05-18,-2520609.883857843,-363737.86420405284,-1885.210551093191,2586.125202110616
2021-05-19,-2603806.5387800443,-346032.2497276823,-1793.4050542665104,2355.530651697803
2021-05-20,-2600592.380968722,-334328.80570722057,-1784.5764657159339,2324.3609964034063
2021-05-21,-2572035.017422532,-306476.4281056878,-1708.4715310380893,2089.3131711401106
2021-05-24,-2580187.518805798,-236271.4142439783,-1599.5317553476932,1652.6368992176165
2021-05-25,-2343225.6988257207,-228506.1870741699,-1568.6870492245453,1633.2563145263284
2021-05-26,-2337282.102779316,-217429.52538314185,-1549.956898735577,1594.87486141354
2021-05-27,-2306840.801985683,-207761.30902887363,-1486.4633570002893,1474.832438078509
2021-05-28,-2913638.454621998,-271535.62032068335,-2071.3856605617275,3325.7016672604273
2021-05-31,-2875020.2406196655,-258467.79383141352,-1921.868418452124,3275.2451419732542
2021-06-01,-2882660.5283069257,-249061.13772595464,-1894.0220725633603,3175.671461153253
2021-06-02,-2894492.0152878566,-244903.815637647,-1852.9905429335347,3064.4287937196477
2021-06-03,-2792152.5289917616,-232307.6532577845,-1758.467415616998,2824.8120768822087
2021-06-04,-2935750.0370148574,-401781.2466515111,-2239.8359053076942,4003.456230797692
2021-06-07,-2921477.233374774,-349765.3298681053,-1883.2687719697608,3049.6270055841064
2021-06-08,-2935498.7036734098,-297568.1281915254,-1801.8623040506004,2662.800758955363
2021-06-09,-2943090.932091323,-293702.3232914854,-1750.0252853910515,2627.8799953817747
2021-06-10,-2926769.505869363,-270871.83300854074,-1707.2492772970616,2466.45774864659
2021-06-11,-3063349.0387766543,-393887.51435656106,-2208.1445562905965,4052.0086314291743
2021-06-14,-3030272.960120075,-386589.91510163614,-1981.300732037762,3982.5318395794848
2021-06-15,-3079017.275525264,-363562.22038561467,-1836.9354192684225,3524.327307994636
2021-06-16,-3123083.6958902483,-323249.8427594614,-1766.0346572415976,3038.008481095863
2021-06-17,-3173108.913595936,-247366.49883750238,-1538.9198951650603,1995.0939915047197
2021-06-18,-2436989.4870608244,-543252.9346354146,-1817.5286106353824,2879.579186332208
2021-06-21,-2348406.672753329,-494158.2950972678,-1677.7195160729596,2732.9921279434225
2021-06-22,-2307028.6530546104,-395776.90727416123,-1685.6041085663437,2693.5623346651532
2021-06-23,-2312234.5378184053,-383148.0705315265,-1689.9493439089827,2709.109274871453
2021-06-24,-2309752.75706803,-306234.9874346616,-1619.511928156911,2308.7169173551933
2021-06-25,-2175628.4761085943,-284702.08754516515,-1567.1492378074618,2085.094716446703
2021-06-28,-1749638.8686712561,-541969.9147553602,-1727.3668092156804,2780.920354479312
2021-06-29,-1711863.8237177671,-494008.9682680349,-1666.2158851341023,2744.3749137576815
2021-06-30,-1725487.4372723727,-498596.2989418047,-1645.020007991972,2813.010279557157
2021-07-01,-1729954.4656468157,-439708.3697794521,-1587.4664986410648,2579.2518720393023
2021-07-02,-1659215.055167106,-277475.1270256192,-1511.5973848242659,2135.955924967302
2021-07-05,-1654403.644490643,-369040.62954978284,-1772.7117426573263,2923.892710278776
2021-07-06,-1616335.5333799399,-335982.57458201505,-1702.681269076258,2927.2129988772776
2021-07-07,-1608655.667408598,-338065.3328514428,-1592.2377832704249,2681.98130223658
2021-07-08,-1611482.6856067246,-149201.71275151448,-1414.888295285741,2194.385706609961
2021-07-09,-1672445.3872844432,-245880.08409224034,-1420.7797947594595,2486.447100371284
2021-07-12,-1524881.4643525772,-413046.68541128613,-1671.6639531162893,2064.7011046480993
2021-07-13,-1490593.335341193,-344525.5273162274,-1522.348298435767,1774.879472446516
2021-07-14,-1483460.0151916593,-363964.6244185111,-1536.7652896311786,1790.7561749795304
2021-07-15,-1499320.5201268706,-323986.74295154004,-1490.264097718752,1751.1144434834023
2021-07-16,-1472365.9412580482,-252971.19329695633,-1454.7889826916337,1444.5537514562889
2021-07-19,-1654269.2718816062,-404594.4278406239,-1694.2853840222663,2055.470166527102
2021-07-20,-1595244.866101158,-329940.73821487476,-1630.9290723381396,1941.0762071733109
2021-07-21,-1585968.722097835,-403008.35606457846,-1663.7619754848463,2052.1777931284178
2021-07-22,-1584116.8272779218,-386273.33218453935,-1629.6566027316617,2004.6567698615056
2021-07-23,-1577954.8442298735,-320886.71103965584,-1584.956706963492,1744.9972443511117
2021-07-26,-1742200.5054665322,-249938.11305101574,-1482.0699809860353,1494.7417068127554
2021-07-27,-1926891.2194840326,-349070.07385190227,-1878.0550844618758,2801.925602787648
2021-07-28,-1987856.007371734,-328098.16791549843,-1829.0454438302206,2734.802617310579
2021-07-29,-1985241.0539779337,-348851.64620031416,-1893.821636998314,2782.554516764604
2021-07-30,-1987426.4119044011,-315557.5314219786,-1867.1768916093645,2744.838859058906
2021-08-02,-1867409.4568147196,-255505.43909682016,-1718.289825308097,2282.758266650512
2021-08-03,-1871074.6764799566,-419669.7953389179,-1986.0883253415413,3095.1886437189546
2021-08-04,-1922557.0871755376,-375368.78777895967,-1918.2283798620656,3005.803217606468
2021-08-05,-1910310.0626092043,-361717.6205391889,-1882.19564979178,2922.978779311487
